iso,country,sex,df,Region
VCT,Saint Vincent and the Grenadines,female,0.97607337,Latin America & Caribbean
VEN,Venezuela,female,0.53966474,Latin America & Caribbean
VGB,British Virgin Islands,female,NA,Latin America & Caribbean
VNM,Viet Nam,female,-0.98884899,East Asia & Pacific
VUT,Vanuatu,female,0.02959683,East Asia & Pacific
WLF,Wallis and Futuna Islands,female,NA,NA
WSM,Samoa,female,-0.52220506,East Asia & Pacific
XKX,Kosovo,female,2.34328136,Europe & Central Asia
YEM,Yemen,female,0.66042274,Middle East & North Africa
ZAF,South Africa,female,1.84412921,Sub-Saharan Africa
ZMB,Zambia,female,0.9820181,Sub-Saharan Africa
ZWE,Zimbabwe,female,0.83908839,Sub-Saharan Africa
